Location,Bedrooms,Bathrooms,Size,Price
Arroyo Grande,3,2,1437,425000
Arroyo Grande,3,2,1570,599000
Arroyo Grande,4,4,3740,995000
Arroyo Grande,2,1,624,54500
Arroyo Grande,3,2,1800,149000
Arroyo Grande,3,3,2480,1249000
Arroyo Grande,3,2,1750,525000
Arroyo Grande,4,2,1728,599000
Arroyo Grande,3,2,1543,509000
Arroyo Grande,4,5,5060,5499000
Arroyo Grande,4,3,2720,975000
Arroyo Grande,3,2,1975,589000
Atascadero,3,3,2044,995000
Atascadero,4,3,2700,830000
Atascadero,3,2,1536,435000
Atascadero,3,2,1310,299000
Atascadero,3,3,1961,575000
Atascadero,2,2,120,67500
Atascadero,3,3,2100,449000
Atascadero,5,3,3000,349000
Atascadero,6,3,2628,425000
Atascadero,3,2,1737,355000
Cambria,2,2,703,389000
Cambria,2,2,1698,480000
Cambria,3,3,1953,729000
Cambria,3,3,2130,1290000
Cambria,4,4,3576,2000000
Cambria,2,3,2219,598000
Cambria,2,2,919,650000
Cambria,2,3,1840,825000
Cambria,5,4,3684,2995000
Cambria,4,3,2717,995000
Cambria,3,3,1860,865000
Cambria,3,3,2392,1100000
Los Osos,3,3,2502,1350000
Los Osos,2,2,1536,189000
Los Osos,3,3,2193,648000
Los Osos,3,2,1440,149000
Los Osos,3,2,2187,625000
Los Osos,2,2,1150,225000
Morro Bay,2,2,1410,535000
Morro Bay,4,2,2004,469000
Morro Bay,3,2,1427,652000
Morro Bay,3,2,2306,982800
Nipomo,4,2,1248,122500
Nipomo,2,2,1152,175000
Nipomo,4,4,3395,1065000
Paso Robles,3,2,1807,425000
Paso Robles,3,2,2237,549000
Paso Robles,3,2,1467,349000
Paso Robles,3,3,1868,318000
Paso Robles,4,3,3166,579900
Paso Robles,3,2,2380,524900
Paso Robles,3,1,940,199000
Paso Robles,3,2,1344,270000
Paso Robles,1,2,300,131900
Paso Robles,3,2,1325,339900
Paso Robles,2,2,1351,214900
Paso Robles,2,3,1772,399000
Paso Robles,4,2,1947,399000
Paso Robles,3,3,1605,319900
Paso Robles,3,2,1877,495000
Pismo Beach,2,1,817,540000
Pismo Beach,3,2,2080,639900
Pismo Beach,3,2,1946,545000
Pismo Beach,3,3,2028,795000
Pismo Beach,3,3,2817,920000
Pismo Beach,3,2,1346,459900
Pismo Beach,2,2,1440,339000
Pismo Beach,3,3,2725,849500
San Luis Obispo,5,6,4174,2369000
San Luis Obispo,3,3,3201,1490000
San Luis Obispo,3,2,1382,475000
San Miguel,3,3,2238,595000
Santa Maria-Orcutt,4,2,1860,399900
Santa Maria-Orcutt,2,2,1200,129000
Santa Maria-Orcutt,5,4,3000,699900
Santa Maria-Orcutt,4,2,1860,365000
Santa Maria-Orcutt,2,2,1056,36000
Santa Maria-Orcutt,3,2,2481,850000
Santa Maria-Orcutt,3,2,1454,312900
Santa Maria-Orcutt,2,2,1344,26500
Santa Maria-Orcutt,4,3,2097,250000
Santa Maria-Orcutt,2,1,1145,355000
Santa Maria-Orcutt,3,3,1850,299000
Santa Maria-Orcutt,3,2,2000,349900
Santa Maria-Orcutt,3,2,1000,249999
Templeton,3,2,1936,509000
Arroyo Grande,3,3,2371,795000
Arroyo Grande,2,2,1257,299000
Arroyo Grande,3,2,1750,595000
Arroyo Grande,3,2,1486,495000
Arroyo Grande,3,2,2145,749000
Arroyo Grande,5,3,2947,555900
Arroyo Grande,2,1,827,199000
Arroyo Grande,5,7,6800,1499000
Arroyo Grande,4,5,5411,1900000
Arroyo Grande,3,2,1535,385000
Arroyo Grande,3,3,1772,399000
Arroyo Grande,2,2,880,279000
Arroyo Grande,4,2,1961,525000
Arroyo Grande,3,1,1005,289000
Arroyo Grande,3,3,2600,520000
Arroyo Grande,3,2,1171,325000
Arroyo Grande,3,2,1368,374900
Arroyo Grande,3,1,1056,365000
Arroyo Grande,2,1,972,265000
Arroyo Grande,2,1,728,249250
Arroyo Grande,5,4,3588,850000
Arroyo Grande,3,4,3375,849900
Arroyo Grande,2,2,1587,419000
Arroyo Grande,4,3,2035,514900
Arroyo Grande,3,2,1916,450000
Arroyo Grande,3,3,1568,400000
Arroyo Grande,1,1,748,250000
Arroyo Grande,5,2,1575,239800
Atascadero,3,2,1323,319000
Atascadero,3,2,1415,389000
Atascadero,1,1,712,199000
Atascadero,3,2,2774,599000
Atascadero,4,4,3387,750000
Atascadero,4,3,3305,810000
Atascadero,4,5,4229,890000
Atascadero,4,3,3676,895000
Atascadero,4,3,2513,429000
Atascadero,3,2,1270,299000
Atascadero,2,2,1463,450000
Atascadero,4,3,3120,599000
Atascadero,3,2,1022,239000
Atascadero,3,2,1665,399500
Atascadero,4,3,3827,829900
Atascadero,4,4,3387,820000
Atascadero,4,3,1900,454500
Atascadero,4,4,3744,850000
Atascadero,2,1,792,199000
Atascadero,4,3,3305,865000
Atascadero,4,4,3962,900000
Atascadero,2,3,1260,199000
Atascadero,2,2,1426,324900
Atascadero,4,4,2135,409900
Atascadero,4,4,2135,409900
Atascadero,3,3,2160,640000
Atascadero,2,1,1160,395000
Atascadero,3,3,2344,560000
Atascadero,4,3,2450,475000
Atascadero,2,2,894,106900
Atascadero,1,1,594,187500
Atascadero,3,1,1030,264450
Atascadero,3,3,1261,250000
Atascadero,2,1,1055,138900
Atascadero,4,2,1836,299500
Atascadero,3,3,1733,290000
Atascadero,3,3,2600,669000
Atascadero,3,2,1514,369000
Atascadero,3,3,1685,309000
Atascadero,3,2,1198,229900
Atascadero,2,2,1041,145000
Atascadero,3,3,1261,235000
Atascadero,6,3,2628,399000
Atascadero,2,1,973,199000
Atascadero,3,3,2135,449900
Atascadero,3,3,1957,489900
Atascadero,4,3,2400,335000
Atascadero,2,1,756,95000
Atascadero,3,2,1007,199000
Atascadero,5,4,5200,949000
Atascadero,2,1,756,90000
Atascadero,3,3,2000,349000
Atascadero,3,2,2000,449970
Atascadero,10,11,4905,699000
Atascadero,3,2,1232,264900
Atascadero,5,3,3000,349000
Atascadero,3,2,1041,229900
Atascadero,3,2,1617,265000
Buellton,4,4,3000,645000
Buellton,2,2,1085,289000
Buellton,3,3,1475,375000
Buellton,3,2,1716,409900
Buellton,3,2,1363,377000
Buellton,3,3,1281,269000
Buellton,4,3,1500,498900
Buellton,4,2,1571,384900
Buellton,4,3,1868,395000
Buellton,3,3,1475,375000
Buellton,4,3,1868,395000
Buellton,4,3,1868,395000
Cambria,2,2,893,325000
Cambria,3,2,1680,520000
Cambria,3,3,2120,449000
Cambria,4,4,1872,332000
Cambria,1,1,551,375000
Cambria,5,3,1818,699900
Cambria,3,2,1380,289900
Cambria,3,2,1840,359900
Cambria,2,2,924,549000
Grover Beach,3,2,2100,500000
Grover Beach,2,1,768,325000
Grover Beach,2,2,1020,240000
Grover Beach,3,2,1470,350000
Grover Beach,4,3,2449,469000
Grover Beach,3,2,1635,349000
Grover Beach,3,3,2095,575000
Grover Beach,3,2,1827,469000
Grover Beach,2,2,1194,275000
Grover Beach,3,2,1462,479000
Grover Beach,2,2,1088,249500
Grover Beach,3,2,1200,310000
Grover Beach,1,1,566,265000
